name,type,neighborhood
Conjunt de Sant Marti de Provençals,Patrimonio cultural,Sant Marti de Provençals
El Portal de l'angel,Espacios urbanos,el Barri Gotic
La Rambla del Raval,Espacios urbanos,el Raval
El Passeig de les Aigues,Espacios naturales,Vallvidrera
El barri del Bon Pastor,Patrimonio cultural,el Bon Pastor
L'Aqueducte de Ciutat Meridiana,Patrimonio cultural,Ciutat Meridiana
Ca lAranyo,Patrimonio cultural,el Parc i la Llacuna del Poblenou
El Tibidabo,Ocio y tiempo libre,Vallvidrera
La vila de Gracia,Espacios urbanos,la Vila de Gracia
El Quadrat dOr,Espacios urbanos,la Dreta de Eixample
El Congres i els Indians,Espacios urbanos,el Congres i els Indians
La plaça d'Orfila,Espacios urbanos,Sant Andreu
Can Peguera,Espacios urbanos,Can Peguera
La plaça de Lesseps,Espacios urbanos,la Vila de Gracia
La plaça de la Vila de Gracia,Espacios urbanos,la Vila de Gracia
El passeig de Sant Joan,Espacios urbanos,la Dreta de Eixample
El nucli antic d'Horta,Espacios urbanos,Horta
Sant Andreu,Espacios urbanos,Sant Andreu
El Clot,Espacios urbanos,el Clot
El Poblenou,Espacios urbanos,el Poblenou
El Gotic,Espacios urbanos,el Barri Gotic
El Forum,Espacios urbanos,el Besos i el Maresme
La Vila Olimpica,Espacios urbanos,la Vila Olimpica del Poblenou
Les Corts,Espacios urbanos,les Corts
La Sagrera,Espacios urbanos,la Sagrera
el Poble Sec,Espacios urbanos,el Poble Sec
La plaça d'Espanya,Espacios urbanos,el Poble Sec
Sarria,Espacios urbanos,Sarria
Sant Antoni,Espacios urbanos,Sant Antoni
Sant Pere i Santa Caterina,Espacios urbanos,Sant Pere
El Raval,Espacios urbanos,el Raval
La Barceloneta,Espacios urbanos,la Barceloneta
El Passeig de Gracia,Espacios urbanos,la Dreta de Eixample
Lavinguda del Tibidabo,Espacios urbanos,Sant Gervasi - la Bonanova
El Born i la Ribera,Espacios urbanos,Sant Pere
El Paral·lel,Espacios urbanos,Sant Antoni
La Plaça de Sant Jaume,Patrimonio cultural,el Barri Gotic
Fossar de les Moreres,Patrimonio cultural,Sant Pere
